Date Time,Time_Of_Day,Kitchen(M019),Living(M020),Master Bedroom(M007),Office(M027),Bedroom(M024),Front Door(D001),Back Door(D002),label
2010-11-04 20:17:00,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2010-11-04 20:19:00,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2010-11-04 20:39:00,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
2010-11-04 21:04:00,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1
2010-11-04 21:15:00,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0
2010-11-04 21:35:00,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
2010-11-04 21:54:00,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2010-11-04 21:55:00,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2010-11-04 22:14:00,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
2010-11-04 22:31:00,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
2010-11-04 22:42:00,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2010-11-04 22:46:00,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2010-11-04 22:58:00,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2010-11-04 23:24:00,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2010-11-04 23:27:00,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2010-11-04 23:49:00,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2010-11-05 00:00:00,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2010-11-05 01:00:00,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
2010-11-05 01:37:00,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2010-11-05 01:50:00,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2010-11-05 02:04:00,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
2010-11-05 02:28:00,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2010-11-05 02:38:00,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2010-11-05 03:20:00,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2010-11-05 03:23:00,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2010-11-05 03:30:00,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1
2010-11-05 04:05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2010-11-05 04:22:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2010-11-05 05:43:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2010-11-05 06:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2010-11-05 07:20:00,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
2010-11-05 07:35:00,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
2010-11-05 07:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2010-11-05 08:07:00,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1
2010-11-05 08:11:00,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1
2010-11-05 08:12:00,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
2010-11-05 08:13:00,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1
2010-11-05 08:20:00,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1
2010-11-05 08:33:00,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
2010-11-05 09:27:00,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
